OID,SUMACCIDEN,ID,CITY,MainUse,POP_2018,TAZAREA,USETYPE,CITYCODE,USETYPECOD,DEAD,SEVER_INJ,SLIGH_INJ,PEDESTRINJ,INJ0_19,INJ20_64,INJ65_,INJTOTAL,TOTDRIVERS,MOTORCYCLE,TRUCK,BICYCLE,PRIVATE,VEHICLE,ACC_INDEX,YEARMONTH,Shape_Length,Shape_Area
-1,0,1438,שמורת טבע נחל דולב,שמורת טבע,0,409002,פנאי/טבע/ספורט,0,3,,,,,,,,,,,,,,,0.000000000000000,202110,2906.309076204803205,409002.346156799525488
-1,3,389,רעננה,מגורים,3640,493317,מגורים,8700,1,0,0,2,0,0,1,1,2,2,0,0,0,2,2,6.081285367004023,202110,2879.973260999401191,493316.761005406617187
-1,88,1040,תל אביב -יפו,תעשיה+מגורים,8455,555281,מגורים,5000,1,0,0,1,0,0,1,0,1,2,1,0,0,0,2,158.478425798275254,202110,3125.279304819210665,555280.629251162870787
-1,7,7,תל אביב -יפו,מכללה אקדמאית,0,324383,מוסדי/ציבורי,5000,2,0,0,1,0,0,1,0,1,2,0,0,0,2,2,21.579419480515018,202110,2650.204537844117112,324383.146929443581030
-1,23,1682,חיפה,מגורים,3567,213937,מגורים,4000,1,0,0,2,0,1,1,0,2,2,0,0,0,2,2,107.508301428198635,202110,2282.782785635567052,213936.967605808255030
-1,13,889,אלישמע,מגורים,1200,2724393,מגורים,0,1,0,0,4,0,0,4,0,4,2,0,0,0,2,2,4.771705674718402,202110,7808.612094163070651,2724392.677628254052252
-1,43,2261,פרדס חנה-כרכור,מגורים,11114,3232048,מגורים,0,1,0,0,4,0,2,2,0,4,2,0,0,0,2,2,13.304258900571867,202110,8842.768431656868415,3232047.746616814751178
-1,6,1531,בית ג'אלא,לא ידוע,0,2152519,עתידי/לא ידוע,0,5,1,0,0,0,0,1,0,1,2,0,0,0,1,2,2.787431502353016,202110,7145.028436362951652,2152519.261885031592101
-1,6,482,לוד,מגורים,3591,242182,מגורים,7000,1,0,0,1,0,0,1,0,1,2,1,0,0,1,2,24.774738619795770,202110,2488.288195543249913,242182.171609504584922
-1,22,1149,ירושלים,מגורים,14692,371528,מגורים,3000,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,59.214858024707553,202110,4242.270819375667088,371528.375375322881155
-1,30,100,תל אביב -יפו,מגורים,2313,202804,מגורים,5000,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1,147.925875550187612,202110,1973.678219194432359,202804.275373862765264
-1,2,1791,קריית ים,מגורים,2336,244389,מגורים,9600,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,8.183666603642834,202110,2357.016560914951242,244389.232463322812691
-1,4,2480,אשקלון,מגורים,8346,357607,מגורים,7100,1,0,0,1,0,0,1,0,1,2,0,0,0,2,2,11.185467886434042,202110,2803.407157875672510,357606.855664149683435
-1,5,742,מודיעין-מכבים-רעות*,מגורים,5033,352983,מגורים,1200,1,0,0,2,0,0,1,1,2,2,0,0,0,2,2,14.164990014753149,202110,3075.964920951378190,352982.952673626306932
-1,75,2098,כאוכב אבו אל-היג'א יודפת שכניה מנוף מורשת קורנית,מגורים,8441,34268119,מגורים,0,1,0,0,2,0,0,2,0,2,3,0,0,0,3,3,2.188623201126917,202110,40237.800582077616127,34268118.861840948462486
-1,0,1368,ביתוניא צפון,לא ידוע,0,6408019,עתידי/לא ידוע,0,5,,,,,,,,,,,,,,,0.000000000000000,202110,13586.216714453907116,6408018.699413002468646
-1,1,335,חולון,מגורים,1324,267426,מגורים,6600,1,0,0,2,0,0,2,0,2,2,0,1,0,1,2,3.739352539704428,202110,2219.692014625338288,267425.975321129721124
